country,name,region,income_group
SGP,Singapore,East Asia & Pacific,High income
SLB,Solomon Islands,East Asia & Pacific,Lower middle income
SLV,El Salvador,Latin America & Caribbean,Upper middle income
SWE,Sweden,Europe & Central Asia,High income
SYC,Seychelles,Sub-Saharan Africa,High income
TCD,Chad,Sub-Saharan Africa,Low income
TGO,Togo,Sub-Saharan Africa,Lower middle income
THA,Thailand,East Asia & Pacific,Upper middle income
TON,Tonga,East Asia & Pacific,Upper middle income
TUN,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
TUR,Turkiye,Europe & Central Asia,Upper middle income
TZA,Tanzania,Sub-Saharan Africa,Lower middle income
UGA,Uganda,Sub-Saharan Africa,Low income
UKR,Ukraine,Europe & Central Asia,Upper middle income
URY,Uruguay,Latin America & Caribbean,High income
USA,United States,North America,High income
VNM,Viet Nam,East Asia & Pacific,Upper middle income
VUT,Vanuatu,East Asia & Pacific,Lower middle income
ZAF,South Africa,Sub-Saharan Africa,Upper middle income
